YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,label
13.76610656,7.6532,-15.2,-81.3443,0.146868072,-18.30620177,59.3125,1.820084148,0.262367771,0.143546971,0.598770852,1
0.764263783,26.6731,11.85,62.1589,0.040450118,0.176129597,36.24137931,3.161558782,-0.003421834,0.466257669,0.285276074,1
3.735230027,10.7775,44.8,-39.4758,0.005733904,0.321025115,16.16059379,2.15471059,0.710714286,0.138461538,0,1
72.10512567,43.425,233.55,30.7724,1.452651561,-47.89938038,12.98613713,2.972884066,0.070571277,0.145302714,0,1
-6.289530582,14.4078,-143.43,-775.597,0.047106134,1.340277758,-14.84782609,0.827344333,-0.208574739,0,0,0
19.37627041,8.215,7.8,2.9827,0.190511854,0.193781519,45.52475248,5.791345934,0.797130042,0.978504254,0.905508285,0
37.45412078,10.539,315.79,4.6593,0.505475323,-1.39808542,22.86666667,2.25659525,1.809008482,0.467476149,0.308759757,1
-0.320057386,29.3146,113.51,30.6345,0.306970879,2.498426543,36.26532084,8.677181344,1.324603873,0.669531586,0.309411259,1
-8.082354505,40.7624,-39.83,319.7268,0.009355946,-0.000666699,19.92857143,0.704207455,0.079800958,0,0.332780083,1
-6.329035151,3.4156,-3.84,84.6784,0.067596798,0.139705264,32.29370009,8.29984626,0.064759477,0.901734104,0.766721718,0
-24.14016328,6.3157,-45.45,25.5253,-0.058039455,-0.413267166,15.89601534,2.051234968,-0.340267835,0,0.208033827,0
23.8412678,-40.4471,-36.68,-136.9948,0.033825574,-2.291521794,61.41176471,3.04232992,-0.244234548,0.190064795,0.303671706,0
-45.17752395,-11.458,-25.08,-42.2555,-0.404464871,-4.780834345,31.08333333,2.310945885,-0.066017488,0,0.241948803,0
9.422884454,427.0324,145.18,3957.6153,0.038211305,0.474978009,135.202761,4.7730317,0.283724741,0.641384996,0.895713108,1
-8.329939501,30.3939,163.93,303.7216,0.501700186,-1.855914745,81.57142857,5.624522819,-0.02678354,0.441093308,0.468426013,1
-4.308053176,-11.4572,-47.14,-65.122,0.159768447,-0.083741371,23.3,2.142182873,0.052427811,0.377581121,0.107037505,1
12.94856863,28.2139,126.35,-77.2336,0.121340615,-1.813778961,63.88888889,1.434794649,0.299869516,0.052338052,0.395109395,1
-10.8124621,7.7686,-46.88,-186.9085,-0.060475866,-0.51615304,39.75,1.020207448,-0.367553746,0,0.532479414,0
-1.176345604,21.5517,-13.42,-15.2597,0.020186513,-0.225027268,12.69852941,1.046996044,-0.022742583,0.16962354,0.215923842,1
-4.668676241,10.992,98.74,-56.8837,0.009117343,1.995456206,81.92490029,13.31365657,0.84134565,0.985088537,0.67334576,1
-25.24970041,40.2022,-107.96,-587.7663,-0.12614516,-1.71360214,-97.28571429,0.807595396,-0.152583551,0,0,0
21.03824955,15.7623,26.04,12.4683,0.410438314,0.592321521,22.92082502,2.471818663,0.014087468,0.14187643,0.120823799,0
-37.04483568,241.5002,68.25,686.924,-0.159351259,4.832753784,39.39008895,2.581844729,0.251923077,0.435158501,0.107588857,0
-5.247972824,47.6118,18.01,93.0283,-0.131773564,0.425869867,10.68421053,1.252373949,-0.137219186,0.210810811,0.010810811,1
6.808981537,24.3944,23.77,80.1565,0.306100125,1.125030736,31.69387755,6.218231759,1.629490577,0.973062578,0.50227932,0
-7.170953347,4.1568,65.34,17.7539,0.025043781,1.95331277,13.46428571,0.907737474,0.221193892,0.214256113,0.180273518,1
-15.04280802,41.9567,135.1,27.2886,0.154149207,-1.622089911,51.87406297,1.721585522,0.727737487,0.248545303,0.564837905,1
35.59932955,59.8613,192.02,31.1012,-14.74162531,-1.122204164,259.3846154,3.959279556,0.639470272,0.448213478,0.931252827,0
7.070031173,3.183,22.81,19.6899,0.13875082,0.364764891,31,3.927055599,-0.049168138,0.771674388,0.366644606,0
-5.440275607,-5.7473,107.27,1108.9946,-0.166308239,-1.209743513,36.5,37.71337773,-0.089667458,1,0.002849003,0
-7.727352145,125.7517,120.59,-110.8214,0.23522017,-0.957530697,34.82352941,1.156919591,0.07589788,0.118432386,0.273901809,1
-5.157806187,14.1964,-10.33,28.0894,-0.064713316,-0.176159073,20.54666667,2.540229771,0.755220481,0.74320368,0.52195734,1
37.67644531,8.6091,48.7,-19.3145,0.450848928,0.417159773,20.85733092,3.545437831,0.03355669,0.795493934,0.173743501,1
-17.91004829,-44.8117,-3.26,79361.052,-0.40980164,0.497622371,25.95744681,2.876933678,0.193181818,0.679199219,0.661132813,0
-11.12595298,-7.1524,-39.48,-97.7016,-0.048777435,-1.335781318,16.68,1.035248482,-0.46965843,0,0.219934102,0
29.99215444,2.4585,16.28,-1.0679,0.388722274,1.458019934,22.43816254,1.990682148,0.292652191,0.202446225,0.017292282,1
-26.91214499,34.2712,70.67,-7209.5219,0.870765229,-0.699236115,-4.125,0.871939017,-0.078498294,0.003460208,0,1
-15.10989713,-29.9129,-38.37,-96.446,-0.329371203,-0.973729732,16.93548387,0.682537701,-0.153550864,0,0.196591854,1
1.266773147,-17.9313,-61.89,523.572,0.032668542,-12.81807169,160.7726597,1.226561302,0.091092437,0.46130031,0.85979655,1
-16.84779591,12.3103,-24.17,-136.3779,-0.262040172,-2.184459455,77.21046077,1.838492532,-0.356687583,0,0.693400167,0
-20.72040916,-0.331,-15.69,-175.8983,-0.130868007,1.561787492,149,1.362824252,0.255617978,0.184132372,0.971149767,0
60.33041294,-14.0758,166.94,-62.2814,0.465729431,-0.291596494,6.49068323,1.803626033,-0.269328095,0.045785195,0,0
-5.253535947,5.8526,464.55,-5.1611,0.097886682,-1.38979874,25.17241379,0.84832607,-0.035303002,0.065566652,0.43768997,1
-19.41500193,16.8177,-81.79,-222.9128,-0.210418826,-4.362409539,42.7672956,1.619513095,-0.0703125,0.040193705,0.091525424,1
16.94671437,-4.1757,86.72,-23.8166,0.170674077,-0.131607333,23.70967742,5.254515569,-0.170475707,0.593178037,0,0
-1.745391122,39.9737,46.36,300.566,0.304559767,2.394997716,25.35696701,1.383128844,0.595100662,0.224453369,0.427487729,0
-4.709827387,9.351,-40.9,-27.1504,-0.039753997,-0.410436065,8.317307692,1.041462329,0.139371511,0.230949042,0.207573633,0
16.20837341,71.2116,15.42,29.4204,0.46097209,1.313446476,19.18811881,2.293892663,0.345966862,0.266923736,0.015424165,1
42.22302213,41.3087,216.85,-66.915,0.763053908,0.127177558,44.9375,3.64747027,0.017658556,0.494968855,0.222807858,0
