YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,净现比,WEIGHTAVG_ROE,XSMLL,label
29.33737248,5.1235,29.99,-2.3244,0.541420631,0.269168637,24.43298969,4.171549417,0.940275233,0.889664804,0.659217877,1.086987414,18.21,20.34605994,1
456.748419,-46.8936,1524.99,-59.2764,2.91763165,6.311635548,4.3984,2.986458671,0.374369108,0.449131514,0,1.098864381,94.88,46.96661627,0
32.24911076,51.9017,61.73,88.512,0.398483652,0.662376492,83.55172414,14.66527824,1.338206011,1,1,1.076355312,19.52,25.68012133,1
25.45780073,6.6996,30.22,2.4524,0.179335365,-0.023135714,22.14563107,3.727390365,0.386666281,0.496666667,0.005,1.226758721,18.05,26.20298388,0
45.42579534,-1.1963,481.17,33.0028,0.385593034,1.963748383,87.16199377,21.59919418,0.66455325,0.826839827,0,1.200934021,29.06,29.91211501,1
8.711652604,36.1533,6.97,-8.9064,0.207062181,0.240833686,26.1,5.791960178,0.128937124,0.520504732,0.048895899,1.42352974,23.64,56.61472797,0
32.71151944,1.8389,42.96,-43.8363,0.303663813,-0.028049586,39.30434783,4.82901755,0.383054234,0.606896552,0.775862069,1.126109964,17.64,39.31013156,1
7.809987787,43.8094,0.88,-12.0093,0.381378821,0.073343292,14.75572519,2.704643038,-0.080170402,0.008450704,0.028169014,1.148252065,18.66,76.5961346,1
-3.63425079,17.6398,14.93,21.4161,-0.018029428,0.684704383,25.55752212,4.380015313,0.144453041,0.477040816,0.066326531,1.265968029,18.69,26.43048714,0
30.82579886,-1.5464,28.78,-8.8808,0.310987381,0.883904603,15.73099415,2.441441178,-0.009972134,0.236879433,0.310638298,1.446930558,16.83,29.89432032,1
11.14771946,10.6028,-3.41,-2.848,0.184499259,-0.011698682,68.27586207,8.2713055,-0.071505398,0,0.785353535,1.26763033,22.13,59.74915132,1
10.04783605,32.5526,2.54,15.4057,0.491067848,0.309729659,56.94078947,4.816071918,0.218047133,0,0.838852097,0.919890529,15.92,31.58332238,1
18.83098302,-8.1994,15.84,-10.743,0.095074565,0.497004202,19.75714286,3.637248568,0.103289774,0.207865169,0,1.094896623,19.28,34.45867809,1
25.94731507,194.7196,51.48,404.4368,0.401757472,0.503179127,53.80882353,9.402802002,0.363679485,0.686774942,0.025522042,1.5312719,18.9,48.12000673,0
